year,tri_facility_id,facility_name,street_address,city,county,state,zip,latitude,longitude,industry_sector,naics_code,chemical,cas_number,carcinogen,unit_of_measure,fugitive_air_releases,stack_air_releases,water_releases,landfill_releases,onsite_release_total,offsite_release_total,total_releases,parent_company
1993,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1993,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,6200,6200,GLOBALFOUNDRIES US INC
1993,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,1,0,0,6,105,111,GENERAL ELECTRIC CO (GE CO)
1993,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,3,0,0,8,554,562,GENERAL ELECTRIC CO (GE CO)
1994,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,200,200,NA
1994,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,5150,5150,GLOBALFOUNDRIES US INC
1994,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,97,97,GENERAL ELECTRIC CO (GE CO)
1994,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,1617,1617,GENERAL ELECTRIC CO (GE CO)
1995,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1995,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,1400,1400,0,1400,BELDEN CDT INC
1995,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,12,0,12,8200,8212,GLOBALFOUNDRIES US INC
1995,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,261,261,GENERAL ELECTRIC CO (GE CO)
1995,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,14,0,0,0,14,1634,1648,GENERAL ELECTRIC CO (GE CO)
1996,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1996,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,346,0,346,BELDEN CDT INC
1996,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,5,0,5,9425,9430,GLOBALFOUNDRIES US INC
1996,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,250,250,GENERAL ELECTRIC CO (GE CO)
1996,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,38,0,0,38,2455,2493,GENERAL ELECTRIC CO (GE CO)
1997,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1997,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,81,81,BELDEN CDT INC
1997,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,20,0,20,20205,20225,GLOBALFOUNDRIES US INC
1997,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,10,10,GENERAL ELECTRIC CO (GE CO)
1998,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1998,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,120,120,BELDEN CDT INC
1998,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,20,0,20,18245,18265,GLOBALFOUNDRIES US INC
1998,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,5,0,0,5,500,505,GENERAL ELECTRIC CO (GE CO)
1999,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,1120,1120,NA
1999,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,1080,1080,BELDEN CDT INC
1999,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,11,0,11,16645,16656,GLOBALFOUNDRIES US INC
1999,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,5,0,0,5,30260,30265,GENERAL ELECTRIC CO (GE CO)
2000,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,1944,1944,NA
2000,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,1079,1079,BELDEN CDT INC
2000,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,9,0,9,17795,17804,GLOBALFOUNDRIES US INC
2000,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,5,0,0,5,6971,6976,GENERAL ELECTRIC CO (GE CO)
2001,05089SCTNY2637U,ASCUTNEY METAL PRODS,2637 US RTE 5 N,WINDSOR,WINDSOR,VT,05089,43.487727,-72.385492,Fabricated Metals,332721,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,SPIROL INTL CORP
2001,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335129,Lead,7439-92-1,YES,Pounds,0,0.25,0,0,0.25,0,0.25,NA
2001,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2001,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,5,5,NA
2001,05404YRKCP450WE,YORK CAPACITOR CORP,450 WEAVER ST,WINOOSKI,CHITTENDEN,VT,05404,44.502144,-73.183993,Computers and Electronic Products,334414,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,NA
2001,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,19,19,NA
2001,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,228,228,BELDEN CDT INC
