year,trifd,frs id,facility name,street address,city,county,st,zip,bia,tribe,latitude,longitude,horizontal datum,parent co name,parent co db num,standard parent co name,foreign parent co name,foreign parent co db num,standard foreign parent co name,federal facility,industry sector code,industry sector,primary sic,sic 2,sic 3,sic 4,sic 5,sic 6,primary naics,naics 2,naics 3,naics 4,naics 5,naics 6,doc_ctrl_num,chemical,elemental metal included,tri chemical/compound id,cas#,srs id,clean air act chemical,classification,metal,metal category,carcinogen,pbt,pfas,form type,unit of measure,5.1 - fugitive air,5.2 - stack air,5.3 - water,5.4 - underground,5.4.1 - underground cl i,5.4.2 - underground c ii-v,5.5.1 - landfills,5.5.1a - rcra c landfill,5.5.1b - other landfills,5.5.2 - land treatment,5.5.3 - surface impndmnt,5.5.3a - rcra surface im,5.5.3b - other surface i,5.5.4 - other disposal,on-site release total,6.1 - potw - trns rlse,6.1 - potw - trns trt,potw - total transfers,6.2 - m10,6.2 - m41,6.2 - m62,6.2 - m40 metal,6.2 - m61 metal,6.2 - m71,6.2 - m81,6.2 - m82,6.2 - m72,6.2 - m63,6.2 - m66,6.2 - m67,6.2 - m64,6.2 - m65,6.2 - m73,6.2 - m79,6.2 - m90,6.2 - m94,6.2 - m99,off-site release total,6.2 - m20,6.2 - m24,6.2 - m26,6.2 - m28,6.2 - m93,off-site recycled total,6.2 - m56,6.2 - m92,off-site energy recovery t,6.2 - m40 non-metal,6.2 - m50,6.2 - m54,6.2 - m61 non-metal,6.2 - m69,6.2 - m95,off-site treated total,6.2 - unclassified,6.2 - total transfer,total releases,8.1 - releases,8.1a - on-site contained,8.1b - on-site other,8.1c - off-site contain,8.1d - off-site other r,8.2 - energy recover on,8.3 - energy recover of,8.4 - recycling on site,8.5 - recycling off sit,8.6 - treatment on site,8.7 - treatment off site,production wste (8.1-8.7),8.8 - one-time release,prod_ratio_or_ activity,8.9 - production ratio
1990,05201JHNSNROUTE,110007329300,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,,,42.896971,-73.206043,,JOHNSON CONTROLS INC,006092860,,,,,NO,335,Electrical Equipment,3691,NA,,,,,335911,,,,,,1390045146382,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,182.0000000000,1503.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1685.0000000000,2.0000000000,0E-10,2.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,660.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,662.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1236.0000000000,1898.0000000000,2347.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1990,05701GNRLL210CO,110000314909,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,,,43.607180,-72.992093,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1390045497486,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,5.0000000000,93.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,98.0000000000,35.0000000000,0E-10,35.0000000000,0E-10,0E-10,0E-10,6820.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,38.0000000000,6893.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,6820.0000000000,0E-10,40.0000000000,0E-10,0E-10,0E-10,40.0000000000,0E-10,6933.0000000000,6991.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1990,05759GNRLL16WIN,,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,,,43.577095,-72.961317,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1390045497575,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,11.0000000000,93.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,104.0000000000,64.0000000000,0E-10,64.0000000000,0E-10,0E-10,0E-10,4500.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,4564.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,4500.0000000000,0E-10,16.0000000000,0E-10,0E-10,0E-10,16.0000000000,0E-10,4580.0000000000,4668.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1991,05201JHNSNROUTE,110007329300,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,,,42.896971,-73.206043,,JOHNSON CONTROLS INC,006092860,,,,,NO,335,Electrical Equipment,3691,NA,,,,,335911,,,,,,1391055356099,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,182.0000000000,802.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,984.0000000000,2.0000000000,0E-10,2.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,2774.0000000000,0E-10,0E-10,0E-10,2776.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,21.0000000000,0E-10,0E-10,1851.0000000000,0E-10,1872.0000000000,0E-10,4648.0000000000,3760.0000000000,984.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,200.0000000000,2.0000000000,1186.0000000,0E-7,,1.00
1991,05701GNRLL210CO,110000314909,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,,,43.607180,-72.992093,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1391055000828,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,5.0000000000,2.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,7.0000000000,25.0000000000,0E-10,25.0000000000,0E-10,0E-10,0E-10,6820.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,6845.0000000000,0E-10,1101800.0000000000,0E-10,0E-10,0E-10,1101800.0000000000,0E-10,0E-10,0E-10,6820.0000000000,0E-10,40.0000000000,0E-10,0E-10,0E-10,40.0000000000,0E-10,1108685.0000000000,6852.0000000000,6900.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1100000.0000000000,0E-10,0E-10,1106900.0000000,0E-7,,0.98
1991,05759GNRLL16WIN,,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,,,43.577095,-72.961317,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1391055000929,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,5.0000000000,85.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,90.0000000000,44.0000000000,0E-10,44.0000000000,0E-10,0E-10,0E-10,4500.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,4544.0000000000,0E-10,260000.0000000000,0E-10,0E-10,0E-10,260000.0000000000,0E-10,0E-10,0E-10,4500.0000000000,0E-10,14.0000000000,0E-10,0E-10,0E-10,14.0000000000,0E-10,264558.0000000000,4634.0000000000,4600.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,260000.0000000000,0E-10,0E-10,264600.0000000,0E-7,,0.98
1992,05201JHNSNROUTE,110007329300,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,,,42.896971,-73.206043,,JOHNSON CONTROLS INC,006092860,,,,,NO,335,Electrical Equipment,3691,NA,,,,,335911,,,,,,1392065631196,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,250.0000000000,750.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1000.0000000000,5.0000000000,0E-10,5.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,5.0000000000,0E-10,2564441.0000000000,0E-10,0E-10,0E-10,2564441.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,434.0000000000,0E-10,434.0000000000,0E-10,2564880.0000000000,1005.0000000000,984.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,156222.0000000000,2564423.0000000000,200.0000000000,2.0000000000,2721831.0000000,0E-7,,1.10
1992,05452BMXXX1000R,110070828160,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,,,44.478553,-73.102850,,GLOBALFOUNDRIES US INC,078356937,GLOBALFOUNDRIES US INC,NA,,NA,NO,334,Computers and Electronic Products,3674,NA,,,,,334413,,,,,,1392065546537,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,11000.0000000000,0E-10,11000.0000000000,0E-10,2600.0000000000,0E-10,0E-10,0E-10,2600.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,13600.0000000000,11000.0000000000,11000.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,2600.0000000000,0E-10,0E-10,13600.0000000,0E-7,,1.40
1992,05701GNRLL210CO,110000314909,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,,,43.607180,-72.992093,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1392060008570,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,5.0000000000,2.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,7.0000000000,16.0000000000,0E-10,16.0000000000,0E-10,0E-10,0E-10,597.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,613.0000000000,0E-10,734900.0000000000,0E-10,0E-10,0E-10,734900.0000000000,0E-10,0E-10,0E-10,597.0000000000,35.0000000000,18.0000000000,0E-10,50.0000000000,0E-10,103.0000000000,0E-10,735616.0000000000,620.0000000000,720.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,740000.0000000000,0E-10,0E-10,740720.0000000,0E-7,,0.92
1992,05759GNRLL16WIN,,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,,,43.577095,-72.961317,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1392060008618,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,5.0000000000,5.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,10.0000000000,30.0000000000,0E-10,30.0000000000,0E-10,0E-10,0E-10,3080.0000000000,5.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,3115.0000000000,0E-10,190000.0000000000,0E-10,0E-10,0E-10,190000.0000000000,0E-10,0E-10,0E-10,3080.0000000000,14.0000000000,610.0000000000,5.0000000000,70.0000000000,0E-10,694.0000000000,0E-10,193809.0000000000,3125.0000000000,3800.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,190000.0000000000,0E-10,0E-10,193800.0000000,0E-7,,0.92
